1,200,0.14901727437973022
2,400,0.1490235447883606
3,600,0.14912845730781554
4,800,0.14901139378547668
5,1000,0.1494581437110901
6,1200,0.1495576536655426
7,1400,0.1491605257987976
8,1600,0.149549663066864
9,1800,0.1502328944206238
10,2000,0.14834192633628845
11,2200,0.14953580737113953
12,2400,0.1490706503391266
13,2600,0.15014586806297303
14,2800,0.1491265892982483
15,3000,0.12289808511734009
16,3200,0.09962466955184937
17,3400,0.09926988005638122
18,3600,0.07138621807098389
19,3800,0.04921985745429993
20,4000,0.04954898476600647
21,4200,0.049638751745224
