epoch,step,min,max,mean,std
1,200,-0.012358058243989944,0.01298279594630003,0.0004586974100675434,0.004230635240674019
2,400,-0.01185160968452692,0.012132113799452782,0.0002989835920743644,0.003767759306356311
3,600,-0.039870813488960266,0.03518103435635567,-0.001386186107993126,0.0131696667522192
4,800,-0.02670295536518097,0.023142322897911072,0.0011003229301422834,0.007404339034110308
5,1000,-0.030781123787164688,0.027848651632666588,0.0015388206811621785,0.009923507459461689
6,1200,-0.021919362246990204,0.02122836746275425,0.0005032079061493278,0.006220665760338306
7,1400,-0.028324786573648453,0.02640572004020214,-0.00024881085846573114,0.008363358676433563
8,1600,-0.018803030252456665,0.01874951273202896,-0.0002036156365647912,0.005967161618173122
9,1800,-0.010804963298141956,0.011165100149810314,4.978448851034045e-05,0.003485108958557248
10,2000,-0.020249176770448685,0.019634518772363663,0.00032955530332401395,0.006382117047905922
11,2200,-0.021635066717863083,0.02471664734184742,0.0004570445162244141,0.007836132310330868
12,2400,-0.014648650772869587,0.01579107530415058,0.0001869009283836931,0.004724356811493635
13,2600,-0.008763841353356838,0.008740055374801159,-0.00016854528803378344,0.002939807251095772
14,2800,-0.013438893482089043,0.012505973689258099,-0.00022108157281763852,0.004363733343780041
15,3000,-0.016750041395425797,0.016978180035948753,-0.0001222410355694592,0.004905041307210922
16,3200,-0.018773533403873444,0.0194634348154068,0.0001794744748622179,0.006215168163180351
17,3400,-0.022496353834867477,0.021333351731300354,0.00040508335223421454,0.007088006474077702
18,3600,-0.0164711344987154,0.017620399594306946,0.00035964479320682585,0.005846066866070032
19,3800,-0.021345987915992737,0.021846622228622437,0.00030136556597426534,0.00652329484000802
20,4000,-0.023349910974502563,0.024136362597346306,0.00015556304424535483,0.0074674710631370544
21,4200,-0.01098339632153511,0.01210731826722622,-0.00022244482534006238,0.0037389621138572693
