epoch,step,min,max,mean,std
1,200,-0.005760921631008387,0.007508567068725824,0.0001045291282935068,0.0018312176689505577
2,400,-0.00519010191783309,0.007082024123519659,2.2062744392314926e-05,0.0016677043167874217
3,600,-0.020812412723898888,0.01600402034819126,-0.00010572705650702119,0.0052894228138029575
4,800,-0.011932612396776676,0.008936294354498386,8.124998566927388e-05,0.003102625720202923
5,1000,-0.015989739447832108,0.015015173703432083,0.0001533384493086487,0.004032602999359369
6,1200,-0.00822518765926361,0.008782345801591873,0.00020763570501003414,0.002118062926456332
7,1400,-0.010224621742963791,0.010159870609641075,0.00010640628170222044,0.002929211826995015
8,1600,-0.007429987657815218,0.007689625024795532,5.034780770074576e-05,0.0020866377744823694
9,1800,-0.0054865735583007336,0.006935348734259605,-1.4477911463472992e-05,0.0014399075880646706
10,2000,-0.007691786624491215,0.009770155884325504,-7.992773316800594e-05,0.002751073567196727
11,2200,-0.009328808635473251,0.010058525949716568,-8.161349251167849e-05,0.003147327806800604
12,2400,-0.006481374613940716,0.006515026558190584,-9.748286538524553e-05,0.002009146148338914
13,2600,-0.005179975647479296,0.005616942420601845,-8.899126260075718e-05,0.0012576822191476822
14,2800,-0.006017746403813362,0.005531037226319313,-3.649550853879191e-05,0.00161918590310961
15,3000,-0.006674108561128378,0.00645984522998333,0.00011424337571952492,0.0019906810484826565
16,3200,-0.00895385816693306,0.011279111728072166,0.00019298368715681136,0.002463995711877942
17,3400,-0.012546999379992485,0.012123321183025837,0.00023952819174155593,0.003009364241734147
18,3600,-0.010176976211369038,0.009622570127248764,0.00016445419169031084,0.002371980110183358
19,3800,-0.01004286203533411,0.008593276143074036,7.1131726144813e-05,0.002511727623641491
20,4000,-0.011253210715949535,0.009895668365061283,0.00010126354754902422,0.002834578510373831
21,4200,-0.00554697634652257,0.004409474786370993,-7.531828305218369e-05,0.0014438570942729712
