1,200,0.0010209083557128906
2,400,0.0010190010070800781
3,600,0.0010745525360107422
4,800,0.0014119148254394531
5,1000,0.0011963844299316406
6,1200,0.0008533000946044922
7,1400,0.0009531974792480469
8,1600,0.0011210441589355469
9,1800,0.0012853145599365234
10,2000,0.0007941722869873047
11,2200,0.0013742446899414062
12,2400,0.0017976760864257812
13,2600,0.001850128173828125
14,2800,0.001363515853881836
15,3000,0.0026807785034179688
16,3200,0.0009784698486328125
17,3400,0.0017194747924804688
18,3600,0.002551555633544922
19,3800,0.0013799667358398438
20,4000,0.002439737319946289
21,4200,0.0025229454040527344
