epoch,step,min,max,mean,std
1,200,-1.6795021295547485,1.7645213603973389,0.009687119163572788,0.15102139115333557
2,400,-1.6100683212280273,1.6480226516723633,0.006310384254902601,0.13428938388824463
3,600,-5.415487289428711,4.778606414794922,-0.029263418167829514,0.47007521986961365
4,800,-3.6261065006256104,3.142587184906006,0.023231355473399162,0.2652263045310974
5,1000,-4.178647994995117,3.780561685562134,0.032495733350515366,0.3557445704936981
6,1200,-2.9734556674957275,2.8797607421875,0.010620864108204842,0.2215571403503418
7,1400,-3.8382716178894043,3.5778722763061523,-0.0052572195418179035,0.2970581352710724
8,1600,-2.547292947769165,2.5394201278686523,-0.004312735516577959,0.21192701160907745
9,1800,-1.4586141109466553,1.5042533874511719,0.0010401394683867693,0.12322578579187393
10,2000,-2.725464344024658,2.634093761444092,0.00696021132171154,0.22430439293384552
11,2200,-2.91267728805542,3.3100690841674805,0.009681573137640953,0.275098592042923
12,2400,-1.9774166345596313,2.123889923095703,0.003963852301239967,0.16643604636192322
13,2600,-1.1771565675735474,1.1757221221923828,-0.003532326314598322,0.10422034561634064
14,2800,-1.818061351776123,1.6928929090499878,-0.004648187663406134,0.15484362840652466
15,3000,-2.256838321685791,2.2817533016204834,-0.002619224600493908,0.17340368032455444
16,3200,-2.528069496154785,2.6181957721710205,0.0037406289484351873,0.21969546377658844
17,3400,-2.9903316497802734,2.837475538253784,0.008400211110711098,0.24611343443393707
18,3600,-2.1966660022735596,2.3433704376220703,0.007500129286199808,0.20334553718566895
19,3800,-2.8390462398529053,2.901975154876709,0.006227769423276186,0.22640249133110046
20,4000,-3.086246967315674,3.189049005508423,0.003120972542092204,0.2570685148239136
21,4200,-1.4680044651031494,1.623448371887207,-0.004717760253697634,0.13095860183238983
